img, img1, img2, ann
/media/andersen/D/Thesis/Dataset/Clip31/0268.jpg,/media/andersen/D/Thesis/Dataset/Clip31/0267.jpg,/media/andersen/D/Thesis/Dataset/Clip31/0266.jpg,/media/andersen/D/Thesis/GroundTruth/Clip31/0268.png
/media/andersen/D/Thesis/Dataset/Clip62/0072.jpg,/media/andersen/D/Thesis/Dataset/Clip62/0071.jpg,/media/andersen/D/Thesis/Dataset/Clip62/0070.jpg,/media/andersen/D/Thesis/GroundTruth/Clip62/0072.png
/media/andersen/D/Thesis/Dataset/Clip61/0137.jpg,/media/andersen/D/Thesis/Dataset/Clip61/0136.jpg,/media/andersen/D/Thesis/Dataset/Clip61/0135.jpg,/media/andersen/D/Thesis/GroundTruth/Clip61/0137.png
/media/andersen/D/Thesis/Dataset/Clip14/0140.jpg,/media/andersen/D/Thesis/Dataset/Clip14/0139.jpg,/media/andersen/D/Thesis/Dataset/Clip14/0138.jpg,/media/andersen/D/Thesis/GroundTruth/Clip14/0140.png
/media/andersen/D/Thesis/Dataset/Clip67/0102.jpg,/media/andersen/D/Thesis/Dataset/Clip67/0101.jpg,/media/andersen/D/Thesis/Dataset/Clip67/0100.jpg,/media/andersen/D/Thesis/GroundTruth/Clip67/0102.png
/media/andersen/D/Thesis/Dataset/Clip3/0153.jpg,/media/andersen/D/Thesis/Dataset/Clip3/0152.jpg,/media/andersen/D/Thesis/Dataset/Clip3/0151.jpg,/media/andersen/D/Thesis/GroundTruth/Clip3/0153.png
/media/andersen/D/Thesis/Dataset/Clip68/0042.jpg,/media/andersen/D/Thesis/Dataset/Clip68/0041.jpg,/media/andersen/D/Thesis/Dataset/Clip68/0040.jpg,/media/andersen/D/Thesis/GroundTruth/Clip68/0042.png
/media/andersen/D/Thesis/Dataset/Clip68/0012.jpg,/media/andersen/D/Thesis/Dataset/Clip68/0011.jpg,/media/andersen/D/Thesis/Dataset/Clip68/0010.jpg,/media/andersen/D/Thesis/GroundTruth/Clip68/0012.png
/media/andersen/D/Thesis/Dataset/Clip31/0730.jpg,/media/andersen/D/Thesis/Dataset/Clip31/0729.jpg,/media/andersen/D/Thesis/Dataset/Clip31/0728.jpg,/media/andersen/D/Thesis/GroundTruth/Clip31/0730.png
/media/andersen/D/Thesis/Dataset/Clip26/0039.jpg,/media/andersen/D/Thesis/Dataset/Clip26/0038.jpg,/media/andersen/D/Thesis/Dataset/Clip26/0037.jpg,/media/andersen/D/Thesis/GroundTruth/Clip26/0039.png
/media/andersen/D/Thesis/Dataset/Clip43/0321.jpg,/media/andersen/D/Thesis/Dataset/Clip43/0320.jpg,/media/andersen/D/Thesis/Dataset/Clip43/0319.jpg,/media/andersen/D/Thesis/GroundTruth/Clip43/0321.png
/media/andersen/D/Thesis/Dataset/Clip38/0285.jpg,/media/andersen/D/Thesis/Dataset/Clip38/0284.jpg,/media/andersen/D/Thesis/Dataset/Clip38/0283.jpg,/media/andersen/D/Thesis/GroundTruth/Clip38/0285.png
/media/andersen/D/Thesis/Dataset/Clip78/0460.jpg,/media/andersen/D/Thesis/Dataset/Clip78/0459.jpg,/media/andersen/D/Thesis/Dataset/Clip78/0458.jpg,/media/andersen/D/Thesis/GroundTruth/Clip78/0460.png
/media/andersen/D/Thesis/Dataset/Clip45/0033.jpg,/media/andersen/D/Thesis/Dataset/Clip45/0032.jpg,/media/andersen/D/Thesis/Dataset/Clip45/0031.jpg,/media/andersen/D/Thesis/GroundTruth/Clip45/0033.png
/media/andersen/D/Thesis/Dataset/Clip31/0057.jpg,/media/andersen/D/Thesis/Dataset/Clip31/0056.jpg,/media/andersen/D/Thesis/Dataset/Clip31/0055.jpg,/media/andersen/D/Thesis/GroundTruth/Clip31/0057.png
/media/andersen/D/Thesis/Dataset/Clip15/0181.jpg,/media/andersen/D/Thesis/Dataset/Clip15/0180.jpg,/media/andersen/D/Thesis/Dataset/Clip15/0179.jpg,/media/andersen/D/Thesis/GroundTruth/Clip15/0181.png
/media/andersen/D/Thesis/Dataset/Clip10/0163.jpg,/media/andersen/D/Thesis/Dataset/Clip10/0162.jpg,/media/andersen/D/Thesis/Dataset/Clip10/0161.jpg,/media/andersen/D/Thesis/GroundTruth/Clip10/0163.png
/media/andersen/D/Thesis/Dataset/Clip20/0116.jpg,/media/andersen/D/Thesis/Dataset/Clip20/0115.jpg,/media/andersen/D/Thesis/Dataset/Clip20/0114.jpg,/media/andersen/D/Thesis/GroundTruth/Clip20/0116.png
/media/andersen/D/Thesis/Dataset/Clip37/0041.jpg,/media/andersen/D/Thesis/Dataset/Clip37/0040.jpg,/media/andersen/D/Thesis/Dataset/Clip37/0039.jpg,/media/andersen/D/Thesis/GroundTruth/Clip37/0041.png
/media/andersen/D/Thesis/Dataset/Clip54/0009.jpg,/media/andersen/D/Thesis/Dataset/Clip54/0008.jpg,/media/andersen/D/Thesis/Dataset/Clip54/0007.jpg,/media/andersen/D/Thesis/GroundTruth/Clip54/0009.png
/media/andersen/D/Thesis/Dataset/Clip33/0060.jpg,/media/andersen/D/Thesis/Dataset/Clip33/0059.jpg,/media/andersen/D/Thesis/Dataset/Clip33/0058.jpg,/media/andersen/D/Thesis/GroundTruth/Clip33/0060.png
/media/andersen/D/Thesis/Dataset/Clip38/0332.jpg,/media/andersen/D/Thesis/Dataset/Clip38/0331.jpg,/media/andersen/D/Thesis/Dataset/Clip38/0330.jpg,/media/andersen/D/Thesis/GroundTruth/Clip38/0332.png
/media/andersen/D/Thesis/Dataset/Clip41/0046.jpg,/media/andersen/D/Thesis/Dataset/Clip41/0045.jpg,/media/andersen/D/Thesis/Dataset/Clip41/0044.jpg,/media/andersen/D/Thesis/GroundTruth/Clip41/0046.png
